"batter","bathand","bat_kpct","bat_fbpct","bat_1Bpct","bat_2Bpct","bat_3Bpct","bat_HRpct","bat_ipoutpct","bat_pa"
"duraj001","L",0.217687074829932,0.0816326530612245,0.146938775510204,0.0653061224489796,0.019047619047619,0.0285714285714286,0.440816326530612,735
"dever001","L",0.24459234608985,0.116472545757072,0.126455906821963,0.0565723793677205,0.00831946755407654,0.0465890183028286,0.400998336106489,601
"stort001","R",0.311320754716981,0.113207547169811,0.141509433962264,0.0660377358490566,0,0.0188679245283019,0.349056603773585,106
"yoshm002","L",0.123515439429929,0.0973871733966746,0.178147268408551,0.0498812351543943,0,0.0237529691211401,0.527315914489311,421
"renda001","R",0.147058823529412,0.117647058823529,0.147058823529412,0.0420168067226891,0,0,0.546218487394958,238
"schan001","L",0.169686985172982,0.126853377265239,0.161449752883031,0.0313014827018122,0,0.0214168039538715,0.489291598023064,607
"troum001","R",0.214285714285714,0.134920634920635,0.0873015873015873,0.00793650793650794,0.0158730158730159,0.0793650793650794,0.46031746031746,126
"oneit001","R",0.33615221987315,0.126849894291755,0.105708245243129,0.0380549682875264,0,0.06553911205074,0.3276955602537,473
"casat001","L",0.316872427983539,0.127572016460905,0.123456790123457,0.0329218106995885,0,0.0534979423868313,0.345679012345679,243
"valde002","L",0.237668161434978,0.0762331838565022,0.112107623318386,0.0538116591928251,0,0.0269058295964126,0.493273542600897,223
"rafac001","R",0.264448336252189,0.0385288966725044,0.159369527145359,0.0402802101576182,0.00875656742556918,0.0262697022767075,0.462346760070053,571
"mcgur002","L",0.246835443037975,0.0949367088607595,0.145569620253165,0.0189873417721519,0,0.0189873417721519,0.474683544303797,158
"wardt002","R",0.245852187028658,0.105580693815988,0.137254901960784,0.0392156862745098,0.00301659125188537,0.0377073906485671,0.431372549019608,663
"drurb001","R",0.225,0.0888888888888889,0.122222222222222,0.0194444444444444,0,0.0111111111111111,0.533333333333333,360
"sanom001","R",0.378947368421053,0.115789473684211,0.126315789473684,0.0315789473684211,0,0.0210526315789474,0.326315789473684,95
"monim001","L",0.272727272727273,0.0598086124401914,0.126794258373206,0.0406698564593301,0.00478468899521531,0.0334928229665072,0.461722488038278,418
"ohopl001","R",0.296934865900383,0.078544061302682,0.151340996168582,0.0325670498084291,0.00191570881226054,0.0383141762452107,0.400383141762452,522
"netoz001","R",0.232558139534884,0.0913621262458472,0.127906976744186,0.0564784053156146,0.00166112956810631,0.0382059800664452,0.451827242524917,602
"reyep001","R",0.296875,0.0625,0.140625,0.03125,0,0,0.46875,64
"dalbb001","R",0.462365591397849,0.0967741935483871,0.0860215053763441,0.021505376344086,0,0.010752688172043,0.32258064516129,93
"hicka001","B",0.365079365079365,0.0952380952380952,0.111111111111111,0,0,0.0158730158730159,0.412698412698413,63
"rengl001","B",0.144736842105263,0.0657894736842105,0.213815789473684,0.0427631578947368,0.00328947368421053,0.0197368421052632,0.509868421052632,304
"wongc001","R",0.234086242299795,0.0759753593429158,0.17864476386037,0.0492813141683778,0.00205338809034908,0.026694045174538,0.433264887063655,487
"abrew002","L",0.279642058165548,0.0961968680089485,0.114093959731544,0.0738255033557047,0.00447427293064877,0.0335570469798658,0.398210290827741,447
"hamid002","L",0.252365930599369,0.0725552050473186,0.148264984227129,0.0536277602523659,0.00315457413249211,0.0252365930599369,0.444794952681388,317
"thaim001","L",0.311827956989247,0.150537634408602,0.112903225806452,0.0483870967741935,0,0.010752688172043,0.365591397849462,186
"adelj001","R",0.279379157427938,0.0931263858093126,0.104212860310421,0.0332594235033259,0.00443458980044346,0.0443458980044346,0.441241685144124,451
"diazy001","R",0.152979066022544,0.0869565217391304,0.180354267310789,0.0499194847020934,0.00161030595813205,0.0225442834138486,0.505636070853462,621
"ramih004","R",0.203252032520325,0.0284552845528455,0.211382113821138,0.0284552845528455,0.0040650406504065,0.00813008130081301,0.516260162601626,246
"arozr001","R",0.260802469135802,0.146604938271605,0.103395061728395,0.0509259259259259,0,0.0308641975308642,0.407407407407407,648
"parei001","R",0.16380655226209,0.145085803432137,0.131045241809672,0.0390015600624025,0.0015600624024961,0.0296411856474259,0.489859594383775,641
"rosaa003","R",0.210982658959538,0.0375722543352601,0.199421965317919,0.0520231213872832,0.00867052023121387,0.00867052023121387,0.482658959537572,346
"meadc001","R",0.227272727272727,0.0606060606060606,0.189393939393939,0.0227272727272727,0,0.00757575757575758,0.492424242424242,132
"sirij001","R",0.379464285714286,0.0848214285714286,0.0892857142857143,0.0357142857142857,0.00223214285714286,0.0401785714285714,0.368303571428571,448
"cabaj001","R",0.27536231884058,0.0745341614906832,0.136645962732919,0.0496894409937888,0.0020703933747412,0.0186335403726708,0.443064182194617,483
"pintr003","R",0.36734693877551,0.102040816326531,0.0816326530612245,0.0612244897959184,0,0.0408163265306122,0.346938775510204,49
"palar002","L",0.212025316455696,0.158227848101266,0.142405063291139,0.0253164556962025,0.00316455696202532,0.0158227848101266,0.443037974683544,316
"shena001","L",0.28,0.16,0.06,0.1,0,0.02,0.38,50
"rortb001","L",0.268292682926829,0.115853658536585,0.152439024390244,0.0396341463414634,0,0.00914634146341463,0.414634146341463,328
"hendg002","L",0.221140472878999,0.118219749652295,0.141863699582754,0.043115438108484,0.00973574408901252,0.0514603616133519,0.414464534075104,719
"rutsa001","B",0.161442006269592,0.0940438871473354,0.15987460815047,0.0329153605015674,0.00156739811912226,0.0297805642633229,0.520376175548589,638
"westj002","R",0.217002237136465,0.0648769574944072,0.136465324384787,0.058165548098434,0.0111856823266219,0.0402684563758389,0.472035794183445,447
"santa003","B",0.193984962406015,0.0977443609022556,0.103759398496241,0.037593984962406,0.00300751879699248,0.0661654135338346,0.497744360902256,665
"uriar001","R",0.182724252491694,0.0930232558139535,0.156146179401993,0.0299003322259136,0.00664451827242525,0.0365448504983389,0.495016611295681,301
"mullc002","L",0.196392785571142,0.0921843687374749,0.134268537074148,0.032064128256513,0.00601202404809619,0.0360721442885772,0.503006012024048,499
"mccaj001","R",0.240343347639485,0.0643776824034335,0.141630901287554,0.0386266094420601,0,0.0343347639484979,0.48068669527897,233
"cowsc001","L",0.306595365418895,0.105169340463458,0.124777183600713,0.0427807486631016,0.0053475935828877,0.0427807486631016,0.372549019607843,561
"adrie001","B",0.392857142857143,0.0714285714285714,0.107142857142857,0.0357142857142857,0,0.0357142857142857,0.357142857142857,28
"matej003","R",0.230769230769231,0.0528846153846154,0.110576923076923,0.0673076923076923,0.00961538461538462,0.0240384615384615,0.504807692307692,208
"ohear001","L",0.139676113360324,0.097165991902834,0.157894736842105,0.0425101214574899,0.00607287449392713,0.0303643724696356,0.526315789473684,494
"kjerh001","L",0.289473684210526,0.131578947368421,0.166666666666667,0.0175438596491228,0,0.0350877192982456,0.359649122807018,114
"hollj003","L",0.331730769230769,0.0817307692307692,0.120192307692308,0.0192307692307692,0.00961538461538462,0.0240384615384615,0.413461538461538,208
"mounr001","R",0.224852071005917,0.0552268244575937,0.16370808678501,0.0591715976331361,0.00394477317554241,0.0256410256410256,0.467455621301775,507
"jeffr002","R",0.202150537634409,0.0989247311827957,0.10752688172043,0.0473118279569892,0,0.0451612903225806,0.498924731182796,465
"buxtb001","R",0.255154639175258,0.0798969072164948,0.131443298969072,0.0695876288659794,0.0077319587628866,0.0463917525773196,0.40979381443299,388
"margm001","R",0.157434402332362,0.0699708454810496,0.154518950437318,0.0495626822157434,0.00291545189504373,0.0116618075801749,0.553935860058309,343
"miraj002","R",0.153846153846154,0.0559440559440559,0.17016317016317,0.0652680652680653,0.00932400932400932,0.020979020979021,0.524475524475524,429
"santc002","B",0.166666666666667,0.11952861952862,0.126262626262626,0.0437710437710438,0,0.0387205387205387,0.505050505050505,594
"marta007","R",0.182879377431907,0.0856031128404669,0.151750972762646,0.0700389105058366,0.00389105058365759,0.00389105058365759,0.501945525291829,257
"vazqc001","R",0.206349206349206,0.0380952380952381,0.152380952380952,0.0317460317460317,0,0.0222222222222222,0.549206349206349,315
"farmk001","R",0.202479338842975,0.103305785123967,0.111570247933884,0.0537190082644628,0.00413223140495868,0.0206611570247934,0.504132231404959,242
"castw003","B",0.236593059936909,0.113564668769716,0.141955835962145,0.0488958990536278,0.00788643533123028,0.0189274447949527,0.43217665615142,634
"julie001","L",0.338870431893688,0.116279069767442,0.119601328903654,0.0299003322259136,0,0.026578073089701,0.368770764119601,301
"keplm001","L",0.200501253132832,0.0676691729323308,0.157894736842105,0.0526315789473684,0.0025062656641604,0.0200501253132832,0.49874686716792,399
